FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=1239
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service2
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43211706138014, ended at 43211706222572, accumulated -84558, sleeped 84558
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service4 registered
Received 123900000 ns, started at 43263352514486, ended at 43263476411715, accumulated -109898, sleeped 123897229
Received 123900000 ns, started at 43263675866662, ended at 43263799785194, accumulated -128430, sleeped 123918532
Received 123900000 ns, started at 43264072975904, ended at 43264196898988, accumulated -151514, sleeped 123923084
Received 123900000 ns, started at 43264363120631, ended at 43264486977490, accumulated -108373, sleeped 123856859
Received 123900000 ns, started at 43264624488766, ended at 43264748397528, accumulated -117135, sleeped 123908762
Received 123900000 ns, started at 43264958522249, ended at 43265082412271, accumulated -107157, sleeped 123890022
Received 123900000 ns, started at 43265086808800, ended at 43265210699805, accumulated -98162, sleeped 123891005
Received 123900000 ns, started at 43265313966903, ended at 43265437891842, accumulated -123101, sleeped 123924939
Received 123900000 ns, started at 43265601055107, ended at 43265724952608, accumulated -120602, sleeped 123897501
Received 123900000 ns, started at 43265791626074, ended at 43265915515635, accumulated -110163, sleeped 123889561
Received 123900000 ns, started at 43266131387944, ended at 43266255274810, accumulated -97029, sleeped 123886866
Received 123900000 ns, started at 43266285257735, ended at 43266409171335, accumulated -110629, sleeped 123913600
Received 123900000 ns, started at 43266653536971, ended at 43266777452833, accumulated -126491, sleeped 123915862
Received 123900000 ns, started at 43267203590406, ended at 43267327475785, accumulated -111870, sleeped 123885379
Received 123900000 ns, started at 43267663486724, ended at 43267787383334, accumulated -108480, sleeped 123896610
Received 123900000 ns, started at 43268037834519, ended at 43268161775847, accumulated -149808, sleeped 123941328
Received 123900000 ns, started at 43268166791084, ended at 43268290953316, accumulated -412040, sleeped 124162232
Received 123900000 ns, started at 43268340943742, ended at 43268464550559, accumulated -118857, sleeped 123606817
Received 123900000 ns, started at 43268739772285, ended at 43268863670003, accumulated -116575, sleeped 123897718
Received 123900000 ns, started at 43269096308132, ended at 43269220198374, accumulated -106817, sleeped 123890242
Received 123900000 ns, started at 43269388103073, ended at 43269512340380, accumulated -444124, sleeped 124237307
Received 123900000 ns, started at 43269728966471, ended at 43269852555593, accumulated -133246, sleeped 123589122
Received 123900000 ns, started at 43270121499209, ended at 43270245378628, accumulated -112665, sleeped 123879419
Received 123900000 ns, started at 43270640619081, ended at 43270764515498, accumulated -109082, sleeped 123896417
Received 123900000 ns, started at 43270988605766, ended at 43271112501315, accumulated -104631, sleeped 123895549
Received 123900000 ns, started at 43271303215369, ended at 43271427118433, accumulated -107695, sleeped 123903064
Received 123900000 ns, started at 43271578778912, ended at 43271702683141, accumulated -111924, sleeped 123904229
Received 123900000 ns, started at 43271896198905, ended at 43272020390599, accumulated -403618, sleeped 124191694
Received 123900000 ns, started at 43272187503485, ended at 43272311108860, accumulated -108993, sleeped 123605375
Received 123900000 ns, started at 43272487117390, ended at 43272611019823, accumulated -111426, sleeped 123902433
Received 123900000 ns, started at 43272802764587, ended at 43272926661969, accumulated -108808, sleeped 123897382
Received 123900000 ns, started at 43273092799012, ended at 43273216697990, accumulated -107786, sleeped 123898978
Received 123900000 ns, started at 43273378484755, ended at 43273502387245, accumulated -110276, sleeped 123902490
Received 123900000 ns, started at 43273670678901, ended at 43273794573409, accumulated -104784, sleeped 123894508
Received 123900000 ns, started at 43273996439263, ended at 43274120362801, accumulated -128322, sleeped 123923538
Received 123900000 ns, started at 43274282619903, ended at 43274406501210, accumulated -109629, sleeped 123881307
Received 123900000 ns, started at 43274419262703, ended at 43274543160619, accumulated -107545, sleeped 123897916
Received 123900000 ns, started at 43274599476016, ended at 43274723375970, accumulated -107499, sleeped 123899954
Received 123900000 ns, started at 43275072971020, ended at 43275197253600, accumulated -490079, sleeped 124282580
Received 123900000 ns, started at 43275439660441, ended at 43275563176867, accumulated -106505, sleeped 123516426
Received 123900000 ns, started at 43275784886057, ended at 43275908795922, accumulated -116370, sleeped 123909865
Received 123900000 ns, started at 43276101288652, ended at 43276225199675, accumulated -127393, sleeped 123911023
Received 123900000 ns, started at 43276378182299, ended at 43276502073510, accumulated -118604, sleeped 123891211
Received 123900000 ns, started at 43276614864060, ended at 43276738751961, accumulated -106505, sleeped 123887901
Received 123900000 ns, started at 43277021989989, ended at 43277145914345, accumulated -130861, sleeped 123924356
Received 123900000 ns, started at 43277406089355, ended at 43277530017606, accumulated -159112, sleeped 123928251
Received 123900000 ns, started at 43277759388786, ended at 43277883233774, accumulated -104100, sleeped 123844988
Received 123900000 ns, started at 43278066909970, ended at 43278190809833, accumulated -103963, sleeped 123899863
Received 123900000 ns, started at 43278195725956, ended at 43278319616917, accumulated -94924, sleeped 123890961
Received 123900000 ns, started at 43278572159168, ended at 43278696078312, accumulated -114068, sleeped 123919144
Received 123900000 ns, started at 43278934553274, ended at 43279058509373, accumulated -170167, sleeped 123956099
