FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service1
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43211323512485, ended at 43211323541014, accumulated -28529, sleeped 28529
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service4 registered
Received 247900000 ns, started at 43263962548235, ended at 43264210447680, accumulated -111872, sleeped 247899445
Received 247900000 ns, started at 43264248693546, ended at 43264496595666, accumulated -113992, sleeped 247902120
Received 247900000 ns, started at 43264511036266, ended at 43264758928769, accumulated -106495, sleeped 247892503
Received 247900000 ns, started at 43264862285978, ended at 43265110193544, accumulated -114061, sleeped 247907566
Received 247900000 ns, started at 43265115018213, ended at 43265362910018, accumulated -105866, sleeped 247891805
Received 247900000 ns, started at 43265392590338, ended at 43265640495867, accumulated -111395, sleeped 247905529
Received 247900000 ns, started at 43265651616864, ended at 43265899519683, accumulated -114214, sleeped 247902819
Received 247900000 ns, started at 43265960944630, ended at 43266209546871, accumulated -816455, sleeped 248602241
Received 247900000 ns, started at 43266235356337, ended at 43266482553500, accumulated -113618, sleeped 247197163
Received 247900000 ns, started at 43266532203990, ended at 43266780099699, accumulated -109327, sleeped 247895709
Received 247900000 ns, started at 43266819622157, ended at 43267067519195, accumulated -106365, sleeped 247897038
Received 247900000 ns, started at 43267099345967, ended at 43267347248295, accumulated -108693, sleeped 247902328
Received 247900000 ns, started at 43267519378600, ended at 43267767281821, accumulated -111914, sleeped 247903221
Received 247900000 ns, started at 43267922464436, ended at 43268170365596, accumulated -113074, sleeped 247901160
Received 247900000 ns, started at 43268171503746, ended at 43268419400381, accumulated -109709, sleeped 247896635
Received 247900000 ns, started at 43268420318072, ended at 43268668214431, accumulated -106068, sleeped 247896359
Received 247900000 ns, started at 43268670348166, ended at 43268918248479, accumulated -106381, sleeped 247900313
Received 247900000 ns, started at 43268977371819, ended at 43269225270893, accumulated -105455, sleeped 247899074
Received 247900000 ns, started at 43269292299471, ended at 43269540208783, accumulated -114767, sleeped 247909312
Received 247900000 ns, started at 43269641610916, ended at 43269889506872, accumulated -110723, sleeped 247895956
Received 247900000 ns, started at 43270000704277, ended at 43270249267623, accumulated -774069, sleeped 248563346
Received 247900000 ns, started at 43270519205180, ended at 43270766448260, accumulated -117149, sleeped 247243080
Received 247900000 ns, started at 43270869084312, ended at 43271116982712, accumulated -115549, sleeped 247898400
Received 247900000 ns, started at 43271177038197, ended at 43271424930904, accumulated -108256, sleeped 247892707
Received 247900000 ns, started at 43271458047289, ended at 43271705954344, accumulated -115311, sleeped 247907055
Received 247900000 ns, started at 43271782670935, ended at 43272030567165, accumulated -111541, sleeped 247896230
Received 247900000 ns, started at 43272072898544, ended at 43272320793544, accumulated -106541, sleeped 247895000
Received 247900000 ns, started at 43272368036225, ended at 43272615941507, accumulated -111823, sleeped 247905282
Received 247900000 ns, started at 43272697975180, ended at 43272945902328, accumulated -138971, sleeped 247927148
Received 247900000 ns, started at 43272988146346, ended at 43273236020767, accumulated -113392, sleeped 247874421
Received 247900000 ns, started at 43273270538502, ended at 43273518436800, accumulated -111690, sleeped 247898298
Received 247900000 ns, started at 43273552089848, ended at 43273800615990, accumulated -737832, sleeped 248526142
Received 247900000 ns, started at 43273877875318, ended at 43274125179678, accumulated -142192, sleeped 247304360
Received 247900000 ns, started at 43274177216784, ended at 43274425089081, accumulated -114489, sleeped 247872297
Received 247900000 ns, started at 43274431085244, ended at 43274679716808, accumulated -846053, sleeped 248631564
Received 247900000 ns, started at 43274695760088, ended at 43274942917929, accumulated -103894, sleeped 247157841
Received 247900000 ns, started at 43274961953179, ended at 43275209860461, accumulated -111176, sleeped 247907282
Received 247900000 ns, started at 43275370783257, ended at 43275619447350, accumulated -875269, sleeped 248664093
Received 247900000 ns, started at 43275698106958, ended at 43275945242195, accumulated -110506, sleeped 247135237
Received 247900000 ns, started at 43275984512005, ended at 43276232409460, accumulated -107961, sleeped 247897455
Received 247900000 ns, started at 43276261927553, ended at 43276509844720, accumulated -125128, sleeped 247917167
Received 247900000 ns, started at 43276521718108, ended at 43276769626288, accumulated -133308, sleeped 247908180
Received 247900000 ns, started at 43276912301532, ended at 43277162548876, accumulated -2480652, sleeped 250247344
Received 247900000 ns, started at 43277276911997, ended at 43277522448696, accumulated -117351, sleeped 245536699
Received 247900000 ns, started at 43277647298806, ended at 43277895291081, accumulated -209626, sleeped 247992275
Received 247900000 ns, started at 43277955088085, ended at 43278202889064, accumulated -110605, sleeped 247800979
Received 247900000 ns, started at 43278208479982, ended at 43278456373744, accumulated -104367, sleeped 247893762
Received 247900000 ns, started at 43278484965425, ended at 43278732895629, accumulated -134571, sleeped 247930204
Received 247900000 ns, started at 43278813728205, ended at 43279061606946, accumulated -113312, sleeped 247878741
