FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service3
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43212363565601, ended at 43212363588828, accumulated -23227, sleeped 23227
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service2 registered
Received 247900000 ns, started at 43264388860566, ended at 43264636721597, accumulated -107210, sleeped 247861031
Received 247900000 ns, started at 43264678958832, ended at 43264926875959, accumulated -124337, sleeped 247917127
Received 247900000 ns, started at 43264941087457, ended at 43265188961698, accumulated -98578, sleeped 247874241
Received 247900000 ns, started at 43265289990607, ended at 43265537902912, accumulated -110883, sleeped 247912305
Received 247900000 ns, started at 43265541078489, ended at 43265788961350, accumulated -93744, sleeped 247882861
Received 247900000 ns, started at 43265793818605, ended at 43266041780748, accumulated -155887, sleeped 247962143
Received 247900000 ns, started at 43266047040463, ended at 43266294882155, accumulated -97579, sleeped 247841692
Received 247900000 ns, started at 43266297020738, ended at 43266544921129, accumulated -97970, sleeped 247900391
Received 247900000 ns, started at 43266576969822, ended at 43266824890256, accumulated -118404, sleeped 247920434
Received 247900000 ns, started at 43266830175119, ended at 43267078056296, accumulated -99581, sleeped 247881177
Received 247900000 ns, started at 43267109832059, ended at 43267357724968, accumulated -92490, sleeped 247892909
Received 247900000 ns, started at 43267526701001, ended at 43267774604773, accumulated -96262, sleeped 247903772
Received 247900000 ns, started at 43267985786721, ended at 43268233686566, accumulated -96107, sleeped 247899845
Received 247900000 ns, started at 43268353694187, ended at 43268601603470, accumulated -105390, sleeped 247909283
Received 247900000 ns, started at 43268603847665, ended at 43268851753683, accumulated -111408, sleeped 247906018
Received 247900000 ns, started at 43268855298089, ended at 43269103187340, accumulated -100659, sleeped 247889251
Received 247900000 ns, started at 43269111554629, ended at 43269359455490, accumulated -101520, sleeped 247900861
Received 247900000 ns, started at 43269419348304, ended at 43269667245899, accumulated -99115, sleeped 247897595
Received 247900000 ns, started at 43269704447632, ended at 43269952350263, accumulated -101746, sleeped 247902631
Received 247900000 ns, started at 43270044833183, ended at 43270293044010, accumulated -412573, sleeped 248210827
Received 247900000 ns, started at 43270444030847, ended at 43270691613688, accumulated -95414, sleeped 247582841
Received 247900000 ns, started at 43270958035493, ended at 43271205944563, accumulated -104484, sleeped 247909070
Received 247900000 ns, started at 43271306042267, ended at 43271553938384, accumulated -100601, sleeped 247896117
Received 247900000 ns, started at 43271621165763, ended at 43271869067934, accumulated -102772, sleeped 247902171
Received 247900000 ns, started at 43271905415234, ended at 43272153313396, accumulated -100934, sleeped 247898162
Received 247900000 ns, started at 43272208066630, ended at 43272456316240, accumulated -450544, sleeped 248249610
Received 247900000 ns, started at 43272509486795, ended at 43272757017336, accumulated -81085, sleeped 247530541
Received 247900000 ns, started at 43272802989839, ended at 43273050918412, accumulated -109658, sleeped 247928573
Received 247900000 ns, started at 43273118201847, ended at 43273366141541, accumulated -149352, sleeped 247939694
Received 247900000 ns, started at 43273407564203, ended at 43273655409667, accumulated -94816, sleeped 247845464
Received 247900000 ns, started at 43273708077027, ended at 43273955988544, accumulated -106333, sleeped 247911517
Received 247900000 ns, started at 43273988129112, ended at 43274236018124, accumulated -95345, sleeped 247889012
Received 247900000 ns, started at 43274312292773, ended at 43274560199251, accumulated -101823, sleeped 247906478
Received 247900000 ns, started at 43274597840448, ended at 43274845737974, accumulated -99349, sleeped 247897526
Received 247900000 ns, started at 43274849180354, ended at 43275097099577, accumulated -118572, sleeped 247919223
Received 247900000 ns, started at 43275098807437, ended at 43275346964658, accumulated -375793, sleeped 248157221
Received 247900000 ns, started at 43275404323353, ended at 43275651953205, accumulated -105645, sleeped 247629852
Received 247900000 ns, started at 43275759344502, ended at 43276007240279, accumulated -101422, sleeped 247895777
Received 247900000 ns, started at 43276100742165, ended at 43276348637295, accumulated -96552, sleeped 247895130
Received 247900000 ns, started at 43276417159482, ended at 43276665073206, accumulated -110276, sleeped 247913724
Received 247900000 ns, started at 43276695914634, ended at 43276943838536, accumulated -134178, sleeped 247923902
Received 247900000 ns, started at 43276948420914, ended at 43277196276233, accumulated -89497, sleeped 247855319
Received 247900000 ns, started at 43277337939925, ended at 43277585864954, accumulated -114526, sleeped 247925029
Received 247900000 ns, started at 43277719572952, ended at 43277967464100, accumulated -105674, sleeped 247891148
Received 247900000 ns, started at 43278078573991, ended at 43278326464218, accumulated -95901, sleeped 247890227
Received 247900000 ns, started at 43278388014785, ended at 43278635915002, accumulated -96118, sleeped 247900217
Received 247900000 ns, started at 43278639596771, ended at 43278887527155, accumulated -126502, sleeped 247930384
Received 247900000 ns, started at 43278894676767, ended at 43279142542261, accumulated -91996, sleeped 247865494
Received 247900000 ns, started at 43279250438591, ended at 43279498349020, accumulated -102425, sleeped 247910429
