FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service0
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Received 0 ns, started at 43210609416732, ended at 43210609435810, accumulated -19078, sleeped 19078
Starting HTTP server
Endpoint endpoint1 registered
TCP JSON server listening on :5550
Neighbor service4 registered
Neighbor service1 registered
Neighbor service2 registered
Neighbor service3 registered
Received 247900000 ns, started at 43262517575281, ended at 43262765411161, accumulated -103944, sleeped 247835880
Received 247900000 ns, started at 43262820649902, ended at 43263068536861, accumulated -90903, sleeped 247886959
Received 247900000 ns, started at 43263145794895, ended at 43263393834413, accumulated -230421, sleeped 248039518
Received 247900000 ns, started at 43263699072993, ended at 43263946856254, accumulated -113682, sleeped 247783261
Received 247900000 ns, started at 43264089031064, ended at 43264336930846, accumulated -113464, sleeped 247899782
Received 247900000 ns, started at 43264399777706, ended at 43264647679747, accumulated -115505, sleeped 247902041
Received 247900000 ns, started at 43264764479942, ended at 43265012361504, accumulated -97067, sleeped 247881562
Received 247900000 ns, started at 43265206258458, ended at 43265456023689, accumulated -1962298, sleeped 249765231
Received 247900000 ns, started at 43265583956604, ended at 43265830013692, accumulated -119386, sleeped 246057088
Received 247900000 ns, started at 43265861032507, ended at 43266108909305, accumulated -96184, sleeped 247876798
Received 247900000 ns, started at 43266122273170, ended at 43266370178441, accumulated -101455, sleeped 247905271
Received 247900000 ns, started at 43266395047499, ended at 43266642955495, accumulated -109451, sleeped 247907996
Received 247900000 ns, started at 43266669365573, ended at 43266918444127, accumulated -1288005, sleeped 249078554
Received 247900000 ns, started at 43266937345217, ended at 43267184058659, accumulated -101447, sleeped 246713442
Received 247900000 ns, started at 43267220679980, ended at 43267468633922, accumulated -155389, sleeped 247953942
Received 247900000 ns, started at 43267515562669, ended at 43267763413918, accumulated -106638, sleeped 247851249
Received 247900000 ns, started at 43267933786143, ended at 43268181716479, accumulated -136974, sleeped 247930336
Received 247900000 ns, started at 43268234822037, ended at 43268482698500, accumulated -113437, sleeped 247876463
Received 247900000 ns, started at 43268541693514, ended at 43268789576672, accumulated -96595, sleeped 247883158
Received 247900000 ns, started at 43268805178474, ended at 43269053077063, accumulated -95184, sleeped 247898589
Received 247900000 ns, started at 43269069071869, ended at 43269317016084, accumulated -139399, sleeped 247944215
Received 247900000 ns, started at 43269326805666, ended at 43269574669952, accumulated -103685, sleeped 247864286
Received 247900000 ns, started at 43269584380416, ended at 43269832263985, accumulated -87254, sleeped 247883569
Received 247900000 ns, started at 43269844734508, ended at 43270092639775, accumulated -92521, sleeped 247905267
Received 247900000 ns, started at 43270113869567, ended at 43270361779193, accumulated -102147, sleeped 247909626
Received 247900000 ns, started at 43270469552893, ended at 43270717535815, accumulated -185069, sleeped 247982922
Received 247900000 ns, started at 43270782685693, ended at 43271030522754, accumulated -122130, sleeped 247837061
Received 247900000 ns, started at 43271060573102, ended at 43271308471248, accumulated -120276, sleeped 247898146
Received 247900000 ns, started at 43271362745289, ended at 43271610646165, accumulated -121152, sleeped 247900876
Received 247900000 ns, started at 43271659889132, ended at 43271907782172, accumulated -114192, sleeped 247893040
Received 247900000 ns, started at 43271972391615, ended at 43272220277262, accumulated -99839, sleeped 247885647
Received 247900000 ns, started at 43272273336250, ended at 43272521253634, accumulated -117223, sleeped 247917384
Received 247900000 ns, started at 43272568816808, ended at 43272816701856, accumulated -102271, sleeped 247885048
Received 247900000 ns, started at 43272854030607, ended at 43273101950154, accumulated -121818, sleeped 247919547
Received 247900000 ns, started at 43273300477332, ended at 43273548410438, accumulated -154924, sleeped 247933106
Received 247900000 ns, started at 43273717228887, ended at 43273965076717, accumulated -102754, sleeped 247847830
Received 247900000 ns, started at 43274003823707, ended at 43274251737052, accumulated -116099, sleeped 247913345
Received 247900000 ns, started at 43274267358503, ended at 43274515303681, accumulated -161277, sleeped 247945178
Received 247900000 ns, started at 43274536493758, ended at 43274784353829, accumulated -121348, sleeped 247860071
Received 247900000 ns, started at 43274803356517, ended at 43275051230119, accumulated -94950, sleeped 247873602
Received 247900000 ns, started at 43275110812912, ended at 43275358744916, accumulated -126954, sleeped 247932004
Received 247900000 ns, started at 43275438637190, ended at 43275686519092, accumulated -108856, sleeped 247881902
Received 247900000 ns, started at 43275728687029, ended at 43275976569199, accumulated -91026, sleeped 247882170
Received 247900000 ns, started at 43276045180400, ended at 43276293090296, accumulated -100922, sleeped 247909896
Received 247900000 ns, started at 43276379736032, ended at 43276630686503, accumulated -3151393, sleeped 250950471
Received 247900000 ns, started at 43276680092302, ended at 43276924968041, accumulated -127132, sleeped 244875739
Received 247900000 ns, started at 43276927453039, ended at 43277175343128, accumulated -117221, sleeped 247890089
Received 247900000 ns, started at 43277232058744, ended at 43277479951805, accumulated -110282, sleeped 247893061
Received 247900000 ns, started at 43277533486210, ended at 43277781399902, accumulated -123974, sleeped 247913692
Received 247900000 ns, started at 43277785070327, ended at 43278033010947, accumulated -164594, sleeped 247940620
Received 247900000 ns, started at 43278042051598, ended at 43278289907567, accumulated -120563, sleeped 247855969
Received 247900000 ns, started at 43278404374398, ended at 43278652305494, accumulated -151659, sleeped 247931096
