FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=1239
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service2
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Neighbor service4 registered
Received 108, started at 1745373316243277841, ended at 1745373316243277842
Received 109, started at 1745373316378969266, ended at 1745373316378969267
Received 110, started at 1745373316543626821, ended at 1745373316543626822
Received 111, started at 1745373316562139379, ended at 1745373316562139380
Received 112, started at 1745373316641280979, ended at 1745373316641280980
Received 113, started at 1745373316679324033, ended at 1745373316679324034
Received 114, started at 1745373316752678688, ended at 1745373316752678689
Received 115, started at 1745373316848875863, ended at 1745373316848875864
Received 116, started at 1745373317066180816, ended at 1745373317066180817
Received 117, started at 1745373317227018194, ended at 1745373317227018195
Received 118, started at 1745373317414760603, ended at 1745373317414760604
Received 119, started at 1745373317427684493, ended at 1745373317427684494
Received 120, started at 1745373317672685306, ended at 1745373317672685307
Received 121, started at 1745373317823270686, ended at 1745373317823270687
Received 122, started at 1745373317832304886, ended at 1745373317832304887
Received 123, started at 1745373317891152841, ended at 1745373317891152842
Received 124, started at 1745373318376089985, ended at 1745373318376089986
Received 125, started at 1745373318545222897, ended at 1745373318545222898
Received 126, started at 1745373318622648247, ended at 1745373318622648248
Received 127, started at 1745373318703133897, ended at 1745373318703133898
Received 128, started at 1745373318861450952, ended at 1745373318861450953
Received 129, started at 1745373318973130151, ended at 1745373318973130152
Received 130, started at 1745373319140060141, ended at 1745373319140060142
Received 131, started at 1745373319291953545, ended at 1745373319291953546
Received 132, started at 1745373319484082401, ended at 1745373319484082402
Received 133, started at 1745373319694079435, ended at 1745373319694079436
Received 134, started at 1745373319815861397, ended at 1745373319815861398
Received 135, started at 1745373319956271795, ended at 1745373319956271796
Received 136, started at 1745373320275446307, ended at 1745373320275446308
Received 137, started at 1745373320366409413, ended at 1745373320366409414
Received 138, started at 1745373320529381402, ended at 1745373320529381403
Received 139, started at 1745373320792856392, ended at 1745373320792856393
Received 140, started at 1745373321434218056, ended at 1745373321434218057
Received 141, started at 1745373321434868460, ended at 1745373321434868461
Received 142, started at 1745373321745138050, ended at 1745373321745138051
Received 143, started at 1745373321862913144, ended at 1745373321862913145
Received 144, started at 1745373322081211438, ended at 1745373322081211439
Received 145, started at 1745373322151900639, ended at 1745373322151900640
Received 146, started at 1745373322247194746, ended at 1745373322247194747
Received 147, started at 1745373322498259924, ended at 1745373322498259925
Received 148, started at 1745373322568063366, ended at 1745373322568063367
Received 149, started at 1745373322640125489, ended at 1745373322640125490
Received 150, started at 1745373322710639969, ended at 1745373322710639970
Received 151, started at 1745373322779458336, ended at 1745373322779458337
Received 152, started at 1745373322850852415, ended at 1745373322850852416
Received 153, started at 1745373322983492039, ended at 1745373322983492040
Received 154, started at 1745373323185319270, ended at 1745373323185319271
Received 155, started at 1745373323260786565, ended at 1745373323260786566
Received 156, started at 1745373323337808456, ended at 1745373323337808457
Received 157, started at 1745373323470653195, ended at 1745373323470653196
Received 158, started at 1745373323648125942, ended at 1745373323648125943
Received 159, started at 1745373323849899410, ended at 1745373323849899411
Received 160, started at 1745373323921456707, ended at 1745373323921456708
Received 161, started at 1745373324081319260, ended at 1745373324081319261
Received 162, started at 1745373324155645634, ended at 1745373324155645635
Received 163, started at 1745373324223350473, ended at 1745373324223350474
Received 164, started at 1745373324306796395, ended at 1745373324306796396
Received 165, started at 1745373324387602146, ended at 1745373324387602147
Received 166, started at 1745373324486126151, ended at 1745373324486126152
Received 167, started at 1745373324563087378, ended at 1745373324563087379
Received 168, started at 1745373324705534454, ended at 1745373324705534455
Received 169, started at 1745373324873858886, ended at 1745373324873858887
Received 170, started at 1745373324954214755, ended at 1745373324954214756
Received 171, started at 1745373325013743677, ended at 1745373325013743678
Received 172, started at 1745373325167453423, ended at 1745373325167453424
Received 173, started at 1745373325272742256, ended at 1745373325272742257
Received 174, started at 1745373325400602242, ended at 1745373325400602243
Received 175, started at 1745373325743468792, ended at 1745373325743468793
Received 176, started at 1745373325940598318, ended at 1745373325940598319
Received 177, started at 1745373326296810002, ended at 1745373326296810003
Received 178, started at 1745373326375296427, ended at 1745373326375296428
Received 179, started at 1745373326846436185, ended at 1745373326846436186
Received 180, started at 1745373326990251039, ended at 1745373326990251040
Received 181, started at 1745373327146080552, ended at 1745373327146080553
Received 182, started at 1745373327263443042, ended at 1745373327263443043
Received 183, started at 1745373327454728161, ended at 1745373327454728162
Received 184, started at 1745373327562784653, ended at 1745373327562784654
Received 185, started at 1745373327708041132, ended at 1745373327708041133
Received 186, started at 1745373327720870120, ended at 1745373327720870121
Received 187, started at 1745373327911449851, ended at 1745373327911449852
Received 188, started at 1745373328059406911, ended at 1745373328059406912
Received 189, started at 1745373328066527569, ended at 1745373328066527570
Received 190, started at 1745373328162165149, ended at 1745373328162165150
Received 191, started at 1745373328226214174, ended at 1745373328226214175
Received 192, started at 1745373328309592988, ended at 1745373328309592989
Received 193, started at 1745373328449280802, ended at 1745373328449280803
Received 194, started at 1745373328577603509, ended at 1745373328577603510
Received 195, started at 1745373328678074840, ended at 1745373328678074841
Received 196, started at 1745373328864908127, ended at 1745373328864908128
Received 197, started at 1745373328983171534, ended at 1745373328983171535
Received 198, started at 1745373329111299688, ended at 1745373329111299689
Received 199, started at 1745373329202537492, ended at 1745373329202537493
Received 200, started at 1745373329415919743, ended at 1745373329415919744
Received 201, started at 1745373329535852750, ended at 1745373329535852751
Received 202, started at 1745373330058193256, ended at 1745373330058193257
Received 203, started at 1745373330166024560, ended at 1745373330166024561
Received 204, started at 1745373330241582815, ended at 1745373330241582816
Received 205, started at 1745373330363376083, ended at 1745373330363376084
Received 206, started at 1745373330403468231, ended at 1745373330403468232
Received 207, started at 1745373330590803211, ended at 1745373330590803212
Received 208, started at 1745373330655182036, ended at 1745373330655182037
Received 209, started at 1745373330723526282, ended at 1745373330723526283
Received 210, started at 1745373330795546358, ended at 1745373330795546359
Received 211, started at 1745373330868229691, ended at 1745373330868229692
Received 212, started at 1745373330992633756, ended at 1745373330992633757
Received 213, started at 1745373331744393455, ended at 1745373331744393456
Received 214, started at 1745373331972866353, ended at 1745373331972866354
Received 215, started at 1745373332134025513, ended at 1745373332134025514
Received 216, started at 1745373332306440795, ended at 1745373332306440796
Received 217, started at 1745373332429366810, ended at 1745373332429366811
Received 218, started at 1745373332602114879, ended at 1745373332602114880
Received 219, started at 1745373333123950675, ended at 1745373333123950676
Received 220, started at 1745373333191697652, ended at 1745373333191697653
