FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service3
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 108, started at 1745373316341424148, ended at 1745373316341424149
Received 109, started at 1745373316662697204, ended at 1745373316662697205
Received 110, started at 1745373316697373587, ended at 1745373316697373588
Received 111, started at 1745373316793090944, ended at 1745373316793090945
Received 112, started at 1745373316819917601, ended at 1745373316819917602
Received 113, started at 1745373316865966962, ended at 1745373316865966963
Received 114, started at 1745373316920117265, ended at 1745373316920117266
Received 115, started at 1745373317180084124, ended at 1745373317180084125
Received 116, started at 1745373317180502192, ended at 1745373317180502193
Received 117, started at 1745373317309363398, ended at 1745373317309363399
Received 118, started at 1745373317318062170, ended at 1745373317318062171
Received 119, started at 1745373317427361814, ended at 1745373317427361815
Received 120, started at 1745373317677535060, ended at 1745373317677535061
Received 121, started at 1745373317823612149, ended at 1745373317823612150
Received 122, started at 1745373317832591079, ended at 1745373317832591080
Received 123, started at 1745373317891417904, ended at 1745373317891417905
Received 124, started at 1745373318376457472, ended at 1745373318376457473
Received 125, started at 1745373318546762160, ended at 1745373318546762161
Received 126, started at 1745373318703897053, ended at 1745373318703897054
Received 127, started at 1745373318722187018, ended at 1745373318722187019
Received 128, started at 1745373318861871764, ended at 1745373318861871765
Received 129, started at 1745373318973694851, ended at 1745373318973694852
Received 130, started at 1745373319184388641, ended at 1745373319184388642
Received 131, started at 1745373319433231640, ended at 1745373319433231641
Received 132, started at 1745373319484436658, ended at 1745373319484436659
Received 133, started at 1745373319704196577, ended at 1745373319704196578
Received 134, started at 1745373319816395073, ended at 1745373319816395074
Received 135, started at 1745373319956695350, ended at 1745373319956695351
Received 136, started at 1745373320276027207, ended at 1745373320276027208
Received 137, started at 1745373320457497927, ended at 1745373320457497928
Received 138, started at 1745373320695475013, ended at 1745373320695475014
