FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=2479
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service1
env=false
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=false)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 111, started at 1745373316931323403, ended at 1745373316931323404
Received 112, started at 1745373316959316942, ended at 1745373316959316943
Received 113, started at 1745373316979306047, ended at 1745373316979306048
Received 115, started at 1745373317036243930, ended at 1745373317036243931
Received 114, started at 1745373317028305802, ended at 1745373317028305803
Received 116, started at 1745373317149364329, ended at 1745373317149364330
Received 117, started at 1745373317207927551, ended at 1745373317207927552
Received 118, started at 1745373317285711834, ended at 1745373317285711835
Received 119, started at 1745373317433360048, ended at 1745373317433360049
Received 120, started at 1745373317536291656, ended at 1745373317536291657
Received 121, started at 1745373317622791369, ended at 1745373317622791370
Received 122, started at 1745373317769166145, ended at 1745373317769166146
Received 123, started at 1745373317891324912, ended at 1745373317891324913
Received 124, started at 1745373318376082388, ended at 1745373318376082389
Received 125, started at 1745373318545281267, ended at 1745373318545281268
Received 126, started at 1745373318628003344, ended at 1745373318628003345
Received 127, started at 1745373318713990104, ended at 1745373318713990105
Received 128, started at 1745373318916392963, ended at 1745373318916392964
Received 129, started at 1745373319256316092, ended at 1745373319256316093
Received 130, started at 1745373319262168086, ended at 1745373319262168087
Received 131, started at 1745373319310792088, ended at 1745373319310792089
Received 132, started at 1745373319485020026, ended at 1745373319485020027
Received 133, started at 1745373319694380582, ended at 1745373319694380583
Received 134, started at 1745373319814400530, ended at 1745373319814400531
Received 135, started at 1745373319956058979, ended at 1745373319956058980
Received 136, started at 1745373320270627957, ended at 1745373320270627958
Received 137, started at 1745373320457461939, ended at 1745373320457461940
Received 138, started at 1745373320782962872, ended at 1745373320782962873
Received 139, started at 1745373320820404990, ended at 1745373320820404991
Received 140, started at 1745373321542117528, ended at 1745373321542117529
Received 141, started at 1745373322597971751, ended at 1745373322597971752
Received 142, started at 1745373323093685137, ended at 1745373323093685138
Received 143, started at 1745373323120413356, ended at 1745373323120413357
Received 144, started at 1745373323397055566, ended at 1745373323397055567
Received 145, started at 1745373323420200911, ended at 1745373323420200912
Received 146, started at 1745373323555208211, ended at 1745373323555208212
Received 147, started at 1745373323627655564, ended at 1745373323627655565
Received 148, started at 1745373323778650607, ended at 1745373323778650608
Received 149, started at 1745373323805112410, ended at 1745373323805112411
Received 150, started at 1745373323832025129, ended at 1745373323832025130
Received 151, started at 1745373323886009075, ended at 1745373323886009076
Received 152, started at 1745373323886267495, ended at 1745373323886267496
Received 153, started at 1745373323926272652, ended at 1745373323926272653
Received 154, started at 1745373323940856115, ended at 1745373323940856116
Received 155, started at 1745373324041026009, ended at 1745373324041026010
Received 156, started at 1745373324052118012, ended at 1745373324052118013
Received 157, started at 1745373324053815149, ended at 1745373324053815150
Received 158, started at 1745373324067549143, ended at 1745373324067549144
Received 159, started at 1745373324070103493, ended at 1745373324070103494
Received 160, started at 1745373324090984121, ended at 1745373324090984122
Received 161, started at 1745373324101957075, ended at 1745373324101957076
Received 162, started at 1745373324151271115, ended at 1745373324151271116
Received 163, started at 1745373324238783000, ended at 1745373324238783001
Received 164, started at 1745373324341368306, ended at 1745373324341368307
Received 165, started at 1745373324393857260, ended at 1745373324393857261
Received 166, started at 1745373324479855369, ended at 1745373324479855370
Received 167, started at 1745373324631399298, ended at 1745373324631399299
Received 168, started at 1745373324742146484, ended at 1745373324742146485
Received 169, started at 1745373324880949235, ended at 1745373324880949236
Received 170, started at 1745373324958541993, ended at 1745373324958541994
Received 171, started at 1745373325087287034, ended at 1745373325087287035
Received 172, started at 1745373325178921458, ended at 1745373325178921459
Received 173, started at 1745373325342709923, ended at 1745373325342709924
Received 174, started at 1745373325408236420, ended at 1745373325408236421
Received 175, started at 1745373325743305871, ended at 1745373325743305872
Received 176, started at 1745373325941979542, ended at 1745373325941979543
Received 177, started at 1745373326336780008, ended at 1745373326336780009
Received 178, started at 1745373326483008250, ended at 1745373326483008251
Received 179, started at 1745373326847345732, ended at 1745373326847345733
Received 180, started at 1745373326958645955, ended at 1745373326958645956
Received 181, started at 1745373327073353804, ended at 1745373327073353805
Received 182, started at 1745373327263923410, ended at 1745373327263923411
Received 183, started at 1745373327383704142, ended at 1745373327383704143
