FIFO created
Recovery FIFO created
Starting synthetic service with 10 processes
SLOWPOKE_DELAY_MICROS=0
SLOWPOKE_PRERUN=false
SLOWPOKE_POKER_BATCH_THRESHOLD=100
SLOWPOKE_SERV_NAME=service4
env=true
SLOWPOKE_IS_TARGET_SERVICE=%!b(bool=true)
SLOWPOKE_FIFO=/tmp/slowpoke_fifo
SLOWPOKE_FIFO_RECOVER=/tmp/slowpoke_fifo_recover
Starting gRPC server
TCP JSON server listening on :5550
Neighbor service0 registered
Received 105, started at 1745373315827421425, ended at 1745373315827421426
Received 106, started at 1745373315965927392, ended at 1745373315965927393
Received 107, started at 1745373316082897168, ended at 1745373316082897169
Received 108, started at 1745373316242715123, ended at 1745373316242715124
Received 109, started at 1745373316372380479, ended at 1745373316372380480
Received 110, started at 1745373316463952109, ended at 1745373316463952110
Received 111, started at 1745373316528466128, ended at 1745373316528466129
Received 112, started at 1745373316600237258, ended at 1745373316600237259
Received 113, started at 1745373316673983461, ended at 1745373316673983462
Received 114, started at 1745373316741838621, ended at 1745373316741838622
Received 115, started at 1745373316846327223, ended at 1745373316846327224
Received 116, started at 1745373317056964570, ended at 1745373317056964571
Received 117, started at 1745373317200099064, ended at 1745373317200099065
Received 118, started at 1745373317284037763, ended at 1745373317284037764
Received 119, started at 1745373317406262269, ended at 1745373317406262270
Received 120, started at 1745373317522880194, ended at 1745373317522880195
Received 121, started at 1745373317593986469, ended at 1745373317593986470
Received 122, started at 1745373317670718812, ended at 1745373317670718813
Received 123, started at 1745373317890898497, ended at 1745373317890898498
Received 124, started at 1745373318375907451, ended at 1745373318375907452
Received 125, started at 1745373318545034421, ended at 1745373318545034422
Received 126, started at 1745373318609176161, ended at 1745373318609176162
Received 127, started at 1745373318701551062, ended at 1745373318701551063
Received 128, started at 1745373318860022297, ended at 1745373318860022298
Received 129, started at 1745373318972729404, ended at 1745373318972729405
Received 130, started at 1745373319132893055, ended at 1745373319132893056
Received 131, started at 1745373319291590844, ended at 1745373319291590845
Received 132, started at 1745373319482742152, ended at 1745373319482742153
Received 133, started at 1745373319693874682, ended at 1745373319693874683
Received 134, started at 1745373319810315323, ended at 1745373319810315324
Received 135, started at 1745373319955882775, ended at 1745373319955882776
Received 136, started at 1745373320270099952, ended at 1745373320270099953
Received 137, started at 1745373320365740023, ended at 1745373320365740024
Received 138, started at 1745373320529129482, ended at 1745373320529129483
Received 139, started at 1745373320792675960, ended at 1745373320792675961
Received 140, started at 1745373321308462419, ended at 1745373321308462420
Received 141, started at 1745373321385852387, ended at 1745373321385852388
Received 142, started at 1745373321457447949, ended at 1745373321457447950
Received 143, started at 1745373321529811199, ended at 1745373321529811200
Received 144, started at 1745373321535120112, ended at 1745373321535120113
Received 145, started at 1745373321875164385, ended at 1745373321875164386
Received 146, started at 1745373322243318020, ended at 1745373322243318021
Received 147, started at 1745373322497657519, ended at 1745373322497657520
Received 148, started at 1745373322567382237, ended at 1745373322567382238
Received 149, started at 1745373322638718630, ended at 1745373322638718631
Received 150, started at 1745373322709935733, ended at 1745373322709935734
Received 151, started at 1745373322779243345, ended at 1745373322779243346
Received 152, started at 1745373322847645823, ended at 1745373322847645824
Received 153, started at 1745373322982350971, ended at 1745373322982350972
Received 154, started at 1745373323184984335, ended at 1745373323184984336
Received 155, started at 1745373323260421316, ended at 1745373323260421317
Received 156, started at 1745373323330977401, ended at 1745373323330977402
Received 157, started at 1745373323468302303, ended at 1745373323468302304
Received 158, started at 1745373323638362875, ended at 1745373323638362876
Received 159, started at 1745373323840495883, ended at 1745373323840495884
Received 160, started at 1745373323910221002, ended at 1745373323910221003
Received 161, started at 1745373324081082557, ended at 1745373324081082558
Received 162, started at 1745373324129572375, ended at 1745373324129572376
Received 163, started at 1745373324219087923, ended at 1745373324219087924
Received 164, started at 1745373324291157522, ended at 1745373324291157523
Received 165, started at 1745373324387329360, ended at 1745373324387329361
Received 166, started at 1745373324458774729, ended at 1745373324458774730
Received 167, started at 1745373324561458354, ended at 1745373324561458355
Received 168, started at 1745373324704727331, ended at 1745373324704727332
Received 169, started at 1745373324868301786, ended at 1745373324868301787
Received 170, started at 1745373324937539027, ended at 1745373324937539028
Received 171, started at 1745373325012334980, ended at 1745373325012334981
Received 172, started at 1745373325167261488, ended at 1745373325167261489
Received 173, started at 1745373325272376765, ended at 1745373325272376766
Received 174, started at 1745373325400370465, ended at 1745373325400370466
Received 175, started at 1745373325743064976, ended at 1745373325743064977
Received 176, started at 1745373325938773231, ended at 1745373325938773232
Received 177, started at 1745373326294993559, ended at 1745373326294993560
Received 178, started at 1745373326374831081, ended at 1745373326374831082
Received 179, started at 1745373326846232134, ended at 1745373326846232135
Received 180, started at 1745373326957975491, ended at 1745373326957975492
Received 181, started at 1745373327072593117, ended at 1745373327072593118
Received 182, started at 1745373327254701794, ended at 1745373327254701795
Received 183, started at 1745373327382279536, ended at 1745373327382279537
Received 184, started at 1745373327544157205, ended at 1745373327544157206
Received 185, started at 1745373327610776798, ended at 1745373327610776799
Received 186, started at 1745373327678689659, ended at 1745373327678689660
Received 187, started at 1745373327900054662, ended at 1745373327900054663
Received 188, started at 1745373327959725916, ended at 1745373327959725917
Received 189, started at 1745373328023988437, ended at 1745373328023988438
Received 190, started at 1745373328106799482, ended at 1745373328106799483
Received 191, started at 1745373328222187907, ended at 1745373328222187908
Received 192, started at 1745373328309287318, ended at 1745373328309287319
Received 193, started at 1745373328444055894, ended at 1745373328444055895
Received 194, started at 1745373328576184745, ended at 1745373328576184746
Received 195, started at 1745373328672390464, ended at 1745373328672390465
Received 196, started at 1745373328863696467, ended at 1745373328863696468
Received 197, started at 1745373328973988936, ended at 1745373328973988937
Received 198, started at 1745373329110459521, ended at 1745373329110459522
Received 199, started at 1745373329202241821, ended at 1745373329202241822
Received 200, started at 1745373329415547501, ended at 1745373329415547502
Received 201, started at 1745373329529588374, ended at 1745373329529588375
Received 202, started at 1745373330057882323, ended at 1745373330057882324
Received 203, started at 1745373330133885702, ended at 1745373330133885703
Received 204, started at 1745373330214056421, ended at 1745373330214056422
Received 205, started at 1745373330218191440, ended at 1745373330218191441
Received 206, started at 1745373330388251376, ended at 1745373330388251377
Received 207, started at 1745373330463223589, ended at 1745373330463223590
Received 208, started at 1745373330647381591, ended at 1745373330647381592
Received 209, started at 1745373330717664026, ended at 1745373330717664027
Received 210, started at 1745373330792236171, ended at 1745373330792236172
Received 211, started at 1745373330867110603, ended at 1745373330867110604
Received 212, started at 1745373330986241748, ended at 1745373330986241749
Received 213, started at 1745373331744196250, ended at 1745373331744196251
Received 214, started at 1745373331972516649, ended at 1745373331972516650
Received 215, started at 1745373332133759601, ended at 1745373332133759602
Received 216, started at 1745373332305575331, ended at 1745373332305575332
Received 217, started at 1745373332422670987, ended at 1745373332422670988
Received 218, started at 1745373332561539547, ended at 1745373332561539548
Received 219, started at 1745373333122963933, ended at 1745373333122963934
Received 220, started at 1745373333191303329, ended at 1745373333191303330
